 ,Category,Organization,Start Date,End Date,Location,Description,URL,Graduate Credit,Emily: 👍
Library Leadership in a Digital Age,"Leadership, Library","Harvard University: Graduate School of Education, PreK-12 Professional Education Programs","Thursday, March 21, 2019","Saturday, March 23, 2019","Cambridge, MA","Gain insight and practical knowledge to reimagine the role of your library in a time of rapid technological change.

Overview
Technology and new learning modalities are fundamentally redefining how individuals access information and, thus, the role of the library. Library leaders must stay a step ahead of this change, asking: What will learning look like in the next decade? What support will community members need to access quality information, and what role can libraries play as digital media take on a larger role in society?

Library Leadership in a Digital Age offers library leaders a chance to reimagine their work in the context of a changing information landscape. Participants will gather with policymakers and experts to examine how new technologies are redefining learning and to develop practical strategies for leading libraries during this uncertain and dynamic time.

Program Details
During this three-day program, you will explore the changes occurring in the field of knowledge management and consider the implications for libraries and library leadership. In interactive presentations, panel question-and-answer sessions, and small group discussions, you will dive into big questions, such as: Is tomorrow’s library a physical place, a set of information services, or something else? How can libraries become the architects and shepherds of intellectual communities? You will also have opportunities to share insights and practical ideas with your peers and time to set goals for how you will adapt to and embrace the opportunities ahead.

Objectives
Understand the role of libraries in the digital age
Become a more effective library leader in a rapidly changing institutional context
Consider the strengths and weaknesses, opportunities and limitations, and promises and pitfalls of new digital media, resources, and opportunities
Examine new design and delivery options for library resources and services",https://www.gse.harvard.edu/ppe/program/library-leadership-digital-age,,
Liberty and the Declaration of Independence,"Humanities, History",Ashbrook Center at Ashland University and Liberty Fund,"Friday, March 22, 2019","Sunday, March 24, 2019","Philadelphia, PA",,http://teachingamericanhistory.org/libertyfund/,,X
Learning Solutions Conference & Expo,"STEM, Technology",ELearning Guild,"Tuesday, March 26, 2019","Thursday, March 28, 2019","Orlando, FL","Learning Solutions Conference & Expo provides real solutions to the learning and development challenges you encounter today. We are expanding the program to deepen your understanding of learning technologies across the globe. Join us March 27 – 29 to connect with your peers, develop practical skills, and gain knowledge that will provide you with new energy and ideas to advance your career.",https://www.elearningguild.com/lscon/content/5555/learning-solutions-2019-conference--expo--home,,
Deeper Learning: 7th Annual Conference,"Pedagogy, Leadership",High Tech High,"Wednesday, March 27, 2019","Friday, March 29, 2019","San Diego, CA","Deeper Learning 2019 is the premier international event for educators pursuing deeper learning in schools. In 2010, the William and Flora Hewlett Foundation convened a group of leaders from some of the leading organizations in deeper learning. The Deeper Learning conference came from this community’s desire to bring the teachers and school leaders from those organizations along with others from across the country to do what the most successful learners do: work together to find inspirational and implementable solutions to authentic problems facing educators today. This conference aims to connect educators who are implementing deeper learning in their schools, generate and better support deeper learning ideas in classrooms and help educators reflect on their own practic",https://hthgse.edu/professional-education/institutes/,,
Building Bridges within the STEM Community and Beyond,"STEM, Technology, Science, Math, Leadership",International Technology and Engineering Educators Association (ITEEA),"Wednesday, March 27, 2019","Saturday, March 30, 2019","Kansas City, MO","The annual ITEEA conference provides an unparalleled opportunity for technology and engineering educators to gain comprehensive professional development and networking experiences. ITEEA members pay a reduced rate to attend and can choose from dozens of interest sessions, workshops, and social events. This is a unique opportunity to learn from and share with other technology and engineering STEM education professionals in a variety of formats.",https://www.iteea.org/Activities/Conference.aspx,,
Nebraska Educational Technology Association (NETA) Conference,"STEM, Technology",Nebraska Educational Technology Association (NETA),"Wednesday, March 27, 2019","Friday, March 29, 2019","Omaha, NE","Over 200+ featured, breakout, and interactive educational technology sessions from which to choose on Thursday and Friday
Numerous hands-on workshops designed to give you a more in-depth experience
Nationally recognized Speakers
Admittance to an Innovation Lab
Playgrounds where YOU can personally experience the Newest Technologies
Opportunity to meet and interact with Over 100 Exhibitors
Networking Opportunities to Expand YOUR Professional Learning Network to Continue Learning Throughout the Year
YOU will learn about technology in education and how you can implement it directly into your school/classrooms starting NOW!

YOU have the opportunity to share what YOU learn with YOUR staff members- YOU can be the change agent!",http://netasite.org/?page_id=4330,,
Association of Writers & Writing Programs Conference and Bookfair,"Humanities, Literature, Arts, Library",Association of Writers & Writing Programs (AWP),"Wednesday, March 27, 2019","Saturday, March 30, 2019","Portland, OR","The AWP Conference & Bookfair is an essential annual destination for writers, teachers, students, editors, and publishers. Each year more than 12,000 attendees join our community for four days of insightful dialogue, networking, and unrivaled access to the organizations and opinion-makers that matter most in contemporary literature. The conference features over 2,000 presenters and 550 readings, panels, and craft lectures. The bookfair hosted over 800 presses, journals, and literary organizations from around the world. AWP’s is now the largest literary conference in North America. Join us in Tampa, FL, in 2018 to celebrate the best of what contemporary literature has to offer.",https://www.awpwriter.org/awp_conference/overview,,
Women's Leadership Conference: The Business of People Empowered by Empathy,"Diversity/Equity/Inclusion, Gender Studies, Global Studies, Leadership, Humanities, History, Literature, Counseling",Bay Path University,"Friday, March 29, 2019",,"Longmeadow, MA","Over the past 23 years, the WLC has brought some of the world’s most renowned scientists, artists, journalists, activists, and authors to our region in an effort to spark our curiosity for life stories, new subject matter, and new ideas.",https://www.baypathconference.com/,,
COSN 2018 ANNUAL CONFERENCE: DESIGNING LEARNING IN THE 4TH INDUSTRIAL REVOLUTION,"Technology, STEM",Consortium for School Networking,"Monday, April 1, 2019","Thursday, April 4, 2019","Portland, OR","About the Event
Today’s kindergarten class will graduate in 2030 after experiencing a world of rapid technological change. What will the world look like as the class of 2030 leaves our education systems? How do we prepare them now for success in that world? The CoSN 2019 Conference: Envision 2030: Leadership for Learning, will explore how we provide the class of 2030 with the skills they will need for success. We will focus on the role technology leaders play in envisioning, shaping and leading the school system transformation to support student needs. Come and continue the conversations started at CoSN 2018; Exponential Change: Designing Learning in the 4th Industrial Revolution.

Who Should Attend?
The CoSN Annual Conference includes 3 plenary sessions, dozens of breakout sessions, additional workshops, and pre- and post- conference events designed to maximize professional development for your entire school district team. Our conference environment enables a personalized and authentic learning environment with an emphasis on peer-to-peer sharing and networking. Content at a CoSN Conference is rooted in this team-oriented approach, so we encourage you to bring your school district team.",https://cosnconference.org/,,
National Council of Teachers of Mathematics Research Conference,"STEM, Math, Research",National Council of Teachers of Mathematics,"Wednesday, April 3, 2019","Saturday, April 6, 2019","San Diego, CA","Join thousands of your mathematics education peers at the premier math education event of the year! Network and exchange ideas, engage with innovation in the field, and discover new learning practices that will drive student success.

The latest teaching trends and topics will include:

Assessment: Eliciting and Using Student Thinking 
Building on Students’ Strengths: Practices That Challenge, Engage, and Empower 
Professionalism & Advocacy 
Beyond the Classroom Walls: Empowerment, Access, and Equity 
Creating Inclusive Classrooms: Meeting the Needs of Each and Every Student 
Building Mathematical Knowledge for Teaching 
Enhancing Mathematical Thinking through Reading, Writing, Speaking, and Listening 
For the Love and Joy of Mathematics",http://www.nctm.org/annual/,,
Blended and Personalized Learning Conference,"Leadership, School Design, Technology, Pedagogy, Online Learning",Highlander Institute and Christensen Institute ,"Thursday, April 4, 2019","Saturday, April 6, 2019","Providence, RI","From Thursday, April 4 to Saturday, April 6 the Highlander Institute, the Christensen Institute, and the Learning Accelerator will showcase the best classroom, school, and district implementers from across the nation at our 2019 Blended & Personalized Learning Conference in Providence RI.

Unlike many conferences throughout the year, this event is a chance for educators and leaders to discuss blended learning as it exists today on the ground - both in terms of the day-to-day implementation in blended classrooms, and the strategies and systems that have effectively supported replication and scale across schools and districts.",http://blendedlearningconference.com/,,
Yale School of Management Education Leadership Conference,"Leadership, School Design",Yale University,"Thursday, April 4, 2019","Friday, April 5, 2019","New Haven, CT","From its modest beginnings in 2007, The Yale School of Management Education Leadership Conference has grown to be a nationally recognized forum for education reform. The ELC is an annual two-day conference focused on convening the nation's leaders in education reform. Through panels, networking, conversations, and workshops, our speakers, attendees, presenters, and keynotes create a community that helps build urgency in working toward student success and system-wide progress. 

The ELC is sponsored and run by the Yale School of Management Education Club. The conference is fully planned and managed by students at SOM.

The Yale School of Management Education Leadership Conference exists to create a forum for leaders in education reform. We seek to create a constructive dialogue about how leadership skills applied to the education sector can be used to solve the most pressing and complex challenges in public education. ",http://yaleeducationconference.com/,,
Presidents and the Constitution: Thomas Jefferson,"Humanities, History",Ashbrook Center at Ashland University and Liberty Fund,"Friday, April 5, 2019","Sunday, April 7, 2019","Charlottesville, VA",,http://teachingamericanhistory.org/libertyfund/,,X
Teaching American History: Online Webinars - MLK vs. Malcolm X – Great American Debates,"History, Humanities",Ashbrook Center at Ashland University,"Saturday, April 6, 2019",,Online,"Dr. Martin Luther King, jr. and Malcolm X were the two most prominent Civil Rights leaders of the 1950s and 60s, who for most of their public lives had two very different views on a way forward regarding race relations in America.


Scholars
Christopher Burkett, Ashland University
Peter Myers, University of Wisconsin Eau-Claire
Lucas Morel, Washington and Lee University",http://teachingamericanhistory.org/event/webinar-mlk-vs-malcolm-x-great-american-debates/,,
ASU + GSV Summit,"Arts, STEM, Technology, Pedagogy, Leadership, Diversity/Equity/Inclusion, Innovation",Arizona State University & Global Silicon Valley,"Monday, April 8, 2019","Wednesday, April 10, 2019","San Diego, CA","Forbes magazine says this is “the can’t miss education innovation event.” The best and brightest minds in business, entrepreneurship, higher education, and education innovation converge for three days to transform the way you think about innovations in learning.",http://asugsvsummit.com/,,
Advisory is Essential 101,"Leadership, Pedagogy, School Design, Counseling",Wildwood School,"Tuesday, April 9, 2019","Wednesday, April 10, 2019","Los Angeles, CA","Just starting out? Want a complete program re-design?

Choose this in-depth, 2-day session to create an advisory program that fits your school—public, charter, or private—and leave with a plan to succeed. Participants will: Observe Wildwood middle and high school advisories; analyze current research on advisory and best practices; learn from Wildwood advisors and students; practice advisory and classroom facilitation protocols; generate a plan to implement your program.

",http://www.wildwood.org/page.cfm?p=1627#Adv101,,
"National Science Teachers Association Annual Conference: Sun, Surf & Science","STEM, Science",National Science Teachers Association,"Thursday, April 11, 2019","Sunday, April 14, 2019","St. Louis, MO","National conferences draw 9,000–12,000 attendees and may feature as many as 1,200 sessions and 400 exhibits. Many workshops, courses, featured speakers, exhibitors, presentations, and educational trips!",http://s6.goeshow.com/nsta/national/2019/,,
 From Abortion Rights to Social Justice: Building the Movement for Reproductive Freedom,"Humanities, History, Global Studies, Diversity/Equity/Inclusion, Gender Studies",Civil Liberties and Public Policy (CLPP) and Hampshire College,"Friday, April 12, 2019","Sunday, April 14, 2019","Amherst, MA","From Abortion Rights to Social Justice: Building the Movement for Reproductive Freedom is the conference where CLPP invites people who are completely new to reproductive and social justice to learn alongside those who have shaped, shaken up, and laid new ground for our movements for years. We are students, activists, researchers, scholars, advocates, and justice-seekers. We come together. We vision. We share our successes and challenges. We hold each other accountable. We share our experiences. 
 
With lifelong activists, newly inspired justice-seekers, veteran CLPP conference goers, and first-timers, the conference home that we are creating is approaching its 40th year. We celebrate our strength because we survive and share our resources so that we continue to thrive.  We come together to share power and build new skills. We come together to build the movement for reproductive freedom. We come home.
 
Our communities are strong and resilient. The reproductive justice movement was birthed by women of color who said, We can’t experience our power without abortion, without support for our families, without celebrating our choices to parent or not to parent, and without justice. At the annual CLPP conference, we join together to celebrate this strong legacy of justice-making and to build our movements.
 
At the conference, we strive to create a space where those at the frontlines of our struggles for justice are centered and our lived experiences are valued. Our vision is to create a home for the visible leadership of those most impacted by reproductive injustices: women of color, trans women, LGBTQ people, those who have been incarcerated, poor and working class people, youth, students, people with disabilities, immigrants, indigenous people, and others who are most acutely affected by reproductive, environmental, and social injustices. 
 
We come together to listen and learn, to hold space to respond to the traumas inflicted upon our communities. We know that coming home is not always comfortable. We interrogate our discomfort. We expand our conversations about race and racism—about white supremacy—affirming that Black Lives Matter is central to achieving reproductive justice. 
 
We know that coming home is hard work. At the CLPP conference, we center our desires for justice, and we hold back the tide. We vision for ourselves, our communities, our environments, and our society. 
 
We celebrate the ways that we are creating the world that we want to live in. We tell our stories of abortions that we wanted, that we didn’t want, that we had to fight for, and that we could not live without. We celebrate our creations—our art, our stories, our families, our communities. We tell stories of the children and families we have had to fight to create. We celebrate through story, and we envision a world where each of us experiences power, pleasure, and autonomy.
 
Come home to the CLPP conference to be inspired. Come to the conference to recalibrate for action. Come to celebrate the beauty and resilience of our movements. Reconnect with old friends, meet new strategic partners and mentors. Come create space with your communities and with new communities—to build a vision centering diverse histories, identities, experiences and narratives. We don’t all come to the CLPP conference as leaders, but we all take back new stories and skills to empower our communities.  
 
We hope you will share both your experiences and your desire to learn with us on April 7-9, 2017. Join us to find out how your work, your communities, and the issues you care about are part of the movement we are building for reproductive freedom.",https://clpp.hampshire.edu/conference/2019-conference,,
ATLIS Annual Conference,"Technology, STEM",Association of Technology Leaders in Independent Schools (ATLIS),"Sunday, April 14, 2019","Wednesday, April 17, 2019","Dallas, TX","The Association of Technology Leaders in Independent Schools will hold its annual gathering of IT and Edtech independent school leaders on April 14-17, 2019, in Dallas, TX. Our conference theme is ""Deep in the Heart of TECHness."" This convergence of independent school technology professionals is the only conference focused solely on the independent school technology community. One attendee at the past conference called it “the most relevant, most important conference I attend all year.” 

",http://www.theatlis.org/,,
Leadership Retreat,Leadership,SAIS (Serving and Accrediting Independent Schools),"Monday, April 15, 2019","Tuesday, April 16, 2019","New Orleans, LA","Different from the whirlwind of conference breakout sessions, this boutique program offers administrative leaders time to focus on personal growth, leadership abilities, and relationship development surrounded by colleagues who face similar hurdles and aspire to reach common goals. Whether a new administrator or a seasoned veteran, this retreat provides an opportunity to step back from day-to-day demands and focus on cultivating individual strengths and leadership skills.",https://www.sais.org/page/2019Calendar,,
DESIGN STUDIO:  EQUITY AND INCLUSION,"Diversity/Equity/Inclusion, Gender Studies",Leadership + Design,"Friday, April 19, 2019",,"Seattle, WA","This one-day event in Seattle, WA will focus on putting the work of equity and inclusion into action.   Put simply, there is no higher purpose than making our schools safe, inclusive and equitable for all students, teachers, staff, parents and administrators.    Often the debate surrounding this topic has taken center-stage in our schools or community at the expense of actually changing our communities for the better.  Whether you are looking to design something concrete like a program, process or protocol or something big like a culture, vision or purpose, this one-day studio will help you get going.   This Action-Lab environment is designed for teams ready to put their ideas into practice, and each participant or team will leave with an idea ready to be implemented at the end of the day.   Bring a team and build a big idea or come alone and build a spark to be ignited back in your community.

Using a Design-Thinking process, teams and/or individuals will collaborate to build out ideas, prototype them, and test and apply feedback.  By the end of the day, participants will have a roadmap for next steps, and they will have a group of collaborators ready to help them.  Examples of problems that might be designed around at this event are:    
How might we engage our community around the topic of white privilege and what impact it is having on the culture of the school? 
How might we build an event that engages our parents and faculty in a discussion about race, power and privilege?
How might we re-design how we hire so as to attract a diverse set of candidates for our faculty, staff and administrative positions?
How might we change our curriculum to be inclusive of the community it is serving? 
How might we build a culture of risk and trust, so that as future issues of race, inclusion and equity surface, they are not seen as ""hot topics"" but rather vital to the health of the organization?
How might we build activities, content and experiences into our advisory program to foster a more equitable and inclusive culture?     
",http://www.leadershipanddesign.org/design-studio-equity-and-inclusion-action-lab.html,,
National Catholic Educational Association (NCEA) Conference,"Religion, Leadership",National Catholic Educational Association (NCEA) ,"Tuesday, April 23, 2019","Thursday, April 25, 2019","Chicago, IL","Catholic and faith-based K-16 ed leadership development. 

The NCEA Convention & Expo is the largest private education association gathering in the world. Those participating represent all aspects of Catholic school and faith-based education. The Convention is a time to celebrate, to acquire new knowledge, and to renew your spirit.",https://www.ncea.org/NCEA/Learn/Events/Event_Display.aspx?EventKey=NCEA%202019&WebsiteKey=60819b28-9432-4c46-a76a-a2e20ac11cfd,,
Advisory is Essential 201,"Leadership, Pedagogy, School Design, Counseling",Wildwood School,"Tuesday, April 23, 2019",,"Los Angeles, CA","Already have a program in place that needs a tune-up?

Our advanced, 1-day session provides strategies to strengthen and sustain your existing advisory program, as well as to hone your facilitation skills. Participants will:

Observe Wildwood advisories

Focus on applying current Advisory research and best practices

Apply Advisory and classroom facilitation protocols to strengthen their existing programs",https://www.wildwood.org/page.cfm?p=1627#Adv201,,
Teaching American History: Online Webinars - 1944 State of the Union – Documents in Detail,"History, Humanities",Ashbrook Center at Ashland University,"Wednesday, April 24, 2019",,Online,"Focus Document
1944 State of the Union Address, Franklin D. Roosevelt, 1944

Complementary Documents
First Inaugural Address, FDR, 1933
Second Inaugural Address, FDR, 1937

Scholars
Dr. John Moser, Ashland University
Dr. Eric Pullin, Carthage College
Dr. Alonzo Hamby, Professor Emeritus, Ohio University",http://teachingamericanhistory.org/event/webinar-1944-state-of-the-union-documents-in-detail/,,
Bard Institute for Writing and Teaching Annual Conference,"Counseling, Literature, Humanities, Writing",The Bard College Institute for Writing & Thinking,"Friday, April 26, 2019",,"Annandale-on-Hudson, NY","Why Write? Reimagining High School and College Essays
“Every essay …creates a working ethos of attempting – to the utmost – the improbable.”   
Joan Retallack

Essay writing is often a struggle for many students, with the transition from high school to college-level expectations proving to be one of the most academically challenging shifts. Expectations for high school papers – whether the five-paragraph “theme” or the three-point AP model – do not, typically, meet traditional standards for college writing.  Questions of audience, various styles of argumentation, the uses of evidence – and even such basic requirements as a thesis rather than a topic sentence or disciplinary-specific citation-styles – can radically diverge from what students have been accustomed to in grades 8-12.  How can high school teachers, who often feel as if they are “straddling the line” between providing the basics of reading comprehension and preparing students for the more complex thinking required by college courses – help bridge these gaps? 

This year’s annual conference provides teachers and professors with an opportunity to reconsider how the modes of writing that students learn in high school can be utilized in college. In Habits of the Creative Mind (2016), Ann Jurecic and Richard E. Miller propose that “the best writing is curiosity driven and is carried forward by creative acts of connective thinking.” This kind of writing stands in direct contrast to the more typical “recipe-based approach” that results in formulaic prose. How do we encourage students of all levels to see “writing as an act of thinking”?

As Paul Connolly, IWT’s founding director, said in an interview in 1983, “most students seem to be going through the motion of writing. They're not attached to it. Their writing tends to be perfunctory and it tends to be thoughtless."" How do we encourage imaginative thinking and the valuing of the writing process, while also fulfilling the demands of standardized testing and state standards? How might writing-based practices for deepening critical analysis better prepare high school students for college? What classroom practices can address such specific needs as, how do we engage students as readers and writers while asking them to conform to the particular demands of form, style, and content?  

This year’s conference will address these questions from theoretical and practical standpoints.  Together, we will write to explore how the essay is approached in both high school and college; with particular attention to the “high school essay” that is part of the college application process. We will look to IWT’s signature writing-based teaching practices for new ways to use informal and formal writing to foster community, help students respond productively to intellectual challenges, and smooth the transition from one set of skills to another – with a minimum anxiety. Finally, we hope this conference day will offer us the chance to be both teachers and writers, remembering the creativity and curiosity that writing provokes.
 ",http://writingandthinking.org/programs/april/,,
TABS-NAIS Global Symposium,"Diversity/Equity/Inclusion, Leadership, Student Life, Counseling, Human Resources, Global Studies, Humanities",National Association of Independent Schools (NAIS) and The Association of Boarding Schools (TABS),"Sunday, April 28, 2019","Tuesday, April 30, 2019","Newport, RI","As boarding and day schools have internationalized, teachers and administrators have encountered new complexities in nearly every aspect of schooling— from admission, parent communications, and classroom pedagogy, to college advising, constituency relations, and development. At the same time, a pioneering spirit has taken hold in a number of schools, with many educators seeking to enlarge the vision of ""preparatory"" schools to include preparation for global citizenship in a world increasingly interconnected economically, environmentally, culturally, and politically.

The Global Symposium will bring together school leaders, educators, and experts to learn from each other and to explore current practice and promising ways forward.",http://www.global-symposium.org/ ,,
Connect: Canada's Learning & Technology Conference,"STEM, Technology",Connect,"Tuesday, April 30, 2019","Friday, May 3, 2019","Niagara Falls, Ontario, Canada","CONNECT is Canada’s largest education technology conference. We have attracted over 2000 participants, plus countless Exhibitors and Sponsors that came together under one roof to share best practices and expand our horizons of education technology in an ever increasing global and digital economy.

This community of passionate educators, leaders, chief information officers, directors of education, IT experts, business managers and government sector institutions are committed to gathering once a year to learn, debate and exchange ideas, network and be inspired through a smorgasbord of world class speakers, presenters, exhibits and seminars. It is the only event in Canada that brings together the complete life-cycle of learning, from kindergarten to Higher Education, libraries and workplace learning.

Our mission is to connect all sectors in order to help raise the standards of 21st century teaching, training and learning in education.",http://www.canconnected.com/,,
The Swiss Army Teacher: Versatile Facilitation With Protocols,Pedagogy,Wildwood School,"Thursday, May 2, 2019",,"Los Angeles, CA","Want some new tools for your classroom practice?
Versatility is the theme of this hands-on workshop. Participants will practice and reflect upon a variety of multi-use protocols to help them meaningfully facilitate student learning. Whether your goal is to increase student engagement, implement Common Core State Standards, or simply enliven your craft, you'll leave with new skills, ready to use in class the next day. Practice protocols to help facilitate your students' abilities to:

""Mine"" texts for deeper meaning

More respectfully converse with each other

Ask good questions

Generate strong ideas

Thoughtfully reflect on their learning

Identify and build upon successes

For Grades 6-12",https://www.wildwood.org/page.cfm?p=1627#Facilitators16,,
"Schooling Social Minds: Using Brain/Social Science to Teach Social Skills, Social Thinking, and Learning in the Digital Age","Counseling, Health, Pedagogy",Learning & The Brain,"Friday, May 3, 2019","Sunday, May 5, 2019","New York, NY","RAISE SOCIAL SKILLS AND OVERCOME SOCIAL ANXIETY IN A SOCIAL MEDIA AGE
Children and teens today are spending more time texting, playing video games, and on social media than ever before. NYU Psychology Professor Adam Alter and others have discovered that today's school children between the ages 8-18 now spend a third of their lives on social media, leading to rising rates of depression, media addiction, social isolation, and reduced social skills. Additionally, brain and social psychologists have found that the brain is wired for learning through social interaction and social thinking, and that those with social anxiety, autism and the socially awkward are being left behind. Discover the ""Science of Social Minds"" and why our brains are wired for physical connections, ways to improve social skills and friendships, overcome social anxiety and media addiction; and how to teach to and appreciate those who are socially different.",https://www.learningandthebrain.com/Event-381/Schooling-Social-Minds/,,
Mass Poetry Festival,"Humanities, Literature, Writing, Arts",Mass Poetry,"Friday, May 3, 2019","Sunday, May 5, 2019","Salem, MA","During the first weekend of May, Salem becomes the epicenter of contemporary American poetry, offering rare opportunities to hear the nation’s best poets read and discuss their work in intimate and engaging forums.

The Massachusetts Poetry Festival showcases nearly 100 poetry readings and workshops, a small press and literary fair, panels, poetry slams, visual arts, and open-air performances. Panel topics range broadly from the state of poetry, poetry and gender, book publishing, and modernism in contemporary art, to the Common Threads Reading, where contemporary poets with Massachusetts ties discuss their literary connections. More than 150 local and nationally known poets engage with thousands of New Englanders each year.

Mass Poetry supports poets and poetry in Massachusetts. We help to broaden the audience of poetry readers, bring poetry to readers of all ages and transform people’s lives through inspiring verse.
",http://www.masspoetry.org/aboutthefestival/,,
The National Chinese Language Conference (NCLC),Language,Asia Society & The College Board,"Thursday, May 9, 2019","Saturday, May 11, 2019","San Diego, CA","The National Chinese Language Conference (NCLC) provides a high–profile platform for sharing new ideas and best practices in the fields of Chinese language teaching and learning, Chinese arts and culture, and U.S.–China educational exchange. The tenth annual NCLC is organized by Asia Society and the College Board and will be held in Houston, TX, April 6-8, 2017. The conference will focus on:

building and sustaining quality Chinese programs at all levels of K–12 and higher education;
cutting-edge approaches to teaching that incorporate culture, technology and collaborations; and
best practices in the classroom leading to high levels of language proficiency and cultural competency.",http://asiasociety.org/national-chinese-language-conference,,
Teaching American History: Online Webinars - The Great Society vs. Modern Conservatism – Great American Debates,"History, Humanities",Ashbrook Center at Ashland University,"Saturday, May 11, 2019",,Online,"Lyndon Johnson’s ‘Great Society’ package of programs, seen by many as a logical extension of New Deal and Progressive policies, shaped a great deal of the late 20th Century domestic political landscape in America. It also could be said to have given birth to its opposition, in the form of modern American conservatism.

Scholars
Christopher Burkett, Ashland University",http://teachingamericanhistory.org/event/webinar-the-great-society-vs-modern-conservatism-great-american-debates/,,
"Race, Equity, and Leadership in Schools","Leadership, Pedagogy, School Design, Diversity/Equity/Inclusion, Counseling",Harvard Graduate School of Education,"Monday, May 13, 2019","Thursday, May 16, 2019","Cambridge, MA","Develop the skills and historical understanding to lead courageous conversations about race, power, and equity in your school community.

“Without courage we cannot practice any other virtue with consistency. We can’t be kind, true, merciful, generous, or honest.” ― Maya Angelou

Overview
Leading inclusive schools, where all students are afforded opportunities to achieve, requires an understanding of the intersections of race, power, and privilege and calls for leaders who have the courage and capacity to engage in thoughtful conversation and action in their school communities.

Race, Equity, and Leadership in Schools, a program of The Principals’ Center, offers an historical and cultural context for understanding how inequality plays out in schools and provides educators with the skills and confidence to lead more excellent, equitable schools. Participants will learn to recognize structures that perpetuate inequality, address assumptions about how people learn, and create opportunities for more children to succeed.

Program Details
In this four-day institute, you will gather with educators from across the country to explore the role of racism in creating and sustaining educational inequity. You will investigate the importance of personal and group accountability in addressing inequity, and practices for increasing community engagement and promoting open dialogue. You will return home ready to implement concrete strategies for building a more inclusive school community where all children can achieve at high levels.",https://www.gse.harvard.edu/ppe/program/race-equity-and-leadership-schools,,
Teaching American History: Online Webinars - Great Society Speech – Documents in Detail,"History, Humanities",Ashbrook Center at Ashland University,"Wednesday, May 15, 2019",,Online,"Focus Document
“Great Society” Speech, Lyndon Johnson, 1964

Complementary Documents
Special Message to Congress Proposing a Nationwide War on the Sources of Poverty, Lyndon Johnson, 1964
“A Time for Choosing,” Ronald Reagan, 1964

Scholars
Dr. John Moser, Ashland University
Dr. Greg Schneider, Emporia State University
Dr. Abbylin Sellers, Azusa Pacific University",http://teachingamericanhistory.org/event/webinar-great-society-speech-documents-in-detail/,,
Maker Faire - Bay Area,"STEM, Technology, Innovation",Maker Media,"Friday, May 17, 2019","Monday, May 20, 2019","San Mateo, CA","We call it the Greatest Show (& Tell) on Earth. Maker Faire is part science fair, part county fair, and part something entirely new! As a celebration of the Maker Movement, it’s a family-friendly showcase of invention, creativity, and resourcefulness. Faire gathers together tech enthusiasts, crafters, educators, tinkerers, food artisans, hobbyists, engineers, science clubs, artists, students, and commercial exhibitors. Makers come to show their creations and share their learnings. Attendees flock to Maker Faire to glimpse the future and find the inspiration to become Makers themselves.",http://makerfaire.com/bay-area/,,
Beyond Final Exams: Authentic Year-End Assessments,"Pedagogy, School Design",Wildwood School,"Thursday, May 30, 2019",,"Los Angeles, CA","Want to see authentic capstone assessments in action?
See Wildwood students’ end-of-year Gateway and Exhibition Presentations demonstrating their academic and personal growth and take away ideas to implement similar authentic assessments for your students. Participants will:

Attend 8th, 10th, and 12th grade presentations

Engage in Q & A with student presenters

Analyze the elements and design of Wildwood's capstone projects

Identify ways to design and implement capstone projects at your school


For Grades 6-12",https://www.wildwood.org/page.cfm?p=1627#Beyond,,
Emerging Learning Design 2019: Generation Emerging,"Pedagogy, School Design, STEM, Technology",Education Learning Design & Montclair University,"Thursday, May 30, 2019","Friday, May 31, 2019","Montclair, NJ","The ELD conference is meant to engage individuals in lively discussion whilst offering a welcoming platform in which they can express their ideas on pedagogy. Previous ELD conferences have proved to exceed individuals expectations, but don’t just take our word for it! ",http://eld.montclair.edu/events/eldc/eldc19/,,
InnEdCO,"STEM, Technology",Innovation Education Colorado,"Monday, June 10, 2019","Thursday, June 13, 2019","Keystone, CO","InnEdCO organizes the premier statewide conference helping teachers integrate technological tools with 21st Century skills, including technology and information literacy standards, into all content areas. InnEdCO is organized and managed by a governing board of nine volunteers. Its major objective is to organize a four-day, hands-on, technology-focused conference each summer that models and promotes the use of technology integration into the classroom. Last year’s conference highlighted 100+ different workshops, featured speaker sessions, and round-tables with more than 170 different presenters and co-presenters, primarily classroom teachers",http://innedco.org/,,
Independent School Counselors Conference,Counseling,SAIS (Serving and Accrediting Independent Schools),"Monday, June 10, 2019","Tuesday, June 11, 2019","Atlanta, GA","Join school counselors from independent schools across the region for this informational and inspirational CEU opportunity. Grow your professional network and make contacts to call on for support throughout the year. Discuss the latest research and learn new ideas to implement at your school. Trending topic presentations and roundtable conversations will offer practical tips, best practices, and proven strategies you can immediately put into practice.",https://www.sais.org/page/2019Calendar,,
George Washington Teacher Institute Summer Residential Programs - Leadership and Legacy: Lessons from George Washington,"History, Humanities",Mount Vernon Ladies' Association of the Union,"Tuesday, June 11, 2019","Saturday, June 15, 2019","Mount Vernon, VA","A 5-day immersive professional development designed to support K-12 educators teach about the life, leadership, and legacy of George Washington and the 18th-century world in which he lived. Each program includes these signature elements:

In-depth content and primary source analysis.
Immersive 18th-century experiences with historical interpreters and subject matter experts.
Lively debate and engaged collaboration with visiting scholars, fellow participants, and Mount Vernon staff.
Classroom applicability including technology integration.
Connections between historical events and contemporary student experiences.",http://www.mountvernon.org/education/for-teachers/teaching-institutes-professional-development/residential-programs/summer-residential-programs/,,
